142,143,144,145,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
146,147,148,149,36,36,36,127,36,36,36,127,36,36,23,36,36,36,36,36,36,36,36,
123,36,32,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
125,32,31,30,33,36,36,36,36,36,36,36,36,36,36,128,36,36,36,36,36,127,36,
2,2,2,2,2,2,2,2,2,2,2,2,2,3,36,36,36,36,36,36,36,36,36,
8,8,8,8,8,8,8,8,8,8,8,8,11,6,36,36,36,127,36,36,36,36,36,
125,36,36,36,36,36,37,36,36,37,36,36,4,6,36,36,36,36,36,36,36,36,36,
125,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,128,195,196,197,36,36,
125,36,36,36,36,36,36,36,36,36,36,36,4,6,36,23,36,36,198,199,200,36,36,
125,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,201,202,203,36,36,
125,36,36,36,36,36,128,36,36,36,36,36,4,6,36,36,36,166,204,205,206,36,36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,36,36,36,36,36,
124,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,128,36,36,36,36,36,36,
58,58,58,58,58,58,58,58,58,58,58,250,251,252,58,58,58,58,58,58,58,58,58,
78,78,78,78,78,78,78,78,78,78,78,253,254,255,78,78,78,78,78,78,78,78,78,
96,96,96,96,96,96,96,96,96,96,96,253,254,255,96,96,96,96,96,96,96,114,96,
96,96,96,96,112,96,96,96,96,96,96,253,254,255,96,96,111,96,96,96,96,96,96,
77,77,77,77,77,77,77,77,77,77,77,256,257,258,77,77,77,77,77,77,77,77,77,
42,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,23,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
