36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,23,36,36,36,36,36,36,36,36,
36,36,32,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,32,31,30,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
2,2,2,2,2,2,2,2,2,2,2,2,2,3,36,36,36,36,36,36,36,36,36,
8,8,8,8,8,8,8,8,8,8,8,8,11,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,37,36,36,37,36,36,4,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,23,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,4,6,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
58,58,58,58,58,58,58,58,58,58,58,250,251,252,58,58,58,58,58,58,58,58,58,
78,78,78,78,78,78,78,78,78,78,78,253,254,255,78,78,78,78,78,78,78,78,78,
96,96,96,96,96,96,96,96,96,96,96,253,254,255,96,96,96,96,96,96,96,114,96,
96,96,96,96,112,96,96,96,96,96,96,253,254,255,96,96,111,96,96,96,96,96,96,
77,77,77,77,77,77,77,77,77,77,77,256,257,258,77,77,77,77,77,77,77,77,77,
42,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
36,23,36,36,36,36,36,36,36,36,36,36,36,36,36,23,36,36,36,36,36,36,36,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
